# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
6257000 1.2 0.712617 -0.0182449 120.828 -5.90074 0.312733 0 0 -575.441 -26.7468
6258000 1.2 0.70792 -0.0529253 121.85 -5.85262 0.000896644 0 0 -572.003 -24.9654
6259000 1.2 0.652226 -0.00323114 123.856 -5.7837 0.537524 0 0 -563.415 -27.0599
6260000 1.2 0.773691 -0.194539 122.032 -5.93386 0.176295 0 0 -578.81 -26.6196
6261000 1.2 0.689587 -0.0567084 127.806 -5.50206 0.203548 0 0 -540.597 -20.8166
6262000 1.2 0.660628 -0.454954 119.615 -6.1049 0.637866 0 0 -598.011 -25.3263
6263000 1.2 0.748768 -0.308006 126.277 -5.67202 0.945823 0 0 -552.027 -27.4648
6264000 1.2 0.718483 -0.566298 131.492 -5.47946 0.0522111 0 0 -531.48 -27.4777
6265000 1.2 0.645781 0.144624 122.832 -5.80656 0.0329002 0 0 -566.378 -25.9241
6266000 1.2 0.705457 0.331093 125.698 -5.55001 0.432006 0 0 -541.782 -24.7513
6267000 1.2 0.701659 1.10086 121.914 -5.67251 1.45065 0 0 -552.714 -27.3321
6268000 1.2 0.675616 0.390574 123.449 -5.74821 0.0988229 0 0 -557.217 -29.1988
6269000 1.2 0.700875 0.412777 121.209 -5.86007 0.0060757 0 0 -571.86 -25.8735
6270000 1.2 0.760342 -0.455921 126.363 -5.75818 0.0890063 0 0 -561.925 -25.4983
6271000 1.2 0.633066 -0.342642 121.916 -5.93217 3.06454e-05 0 0 -579.603 -25.4778
6272000 1.2 0.734529 0.509766 123.818 -5.71592 0.00428614 0 0 -554.925 -28.1035
6273000 1.2 0.814115 0.819673 120.759 -5.77916 0.424626 0 0 -562.826 -27.0733
